,Ayon Chakraborty,Shishir N. Y. Kolathaya,Surender Baswana,Neeldhara Misra,Mayank Singh,Chandan Saha,Rijurekha Sen,Gugan Thoppe | गुगन थोप्पे,Narasimha Murty M/ M. N. Murty/M. N. Narasimha Murthy,Vinay P. Namboodiri,Anirban Dasgupta,Arkaprava Basu,Chester Rebeiro,Purushottam Kar,Sukhendu Das,Uday Reddy Bondhugula,Subhashish Banerjee,Piyush Rai,Mitesh Khapra,Shalabh Bhatnagar,Prashanth L.A.,Shanmuganathan Raman,Abhishek Bichhawat,Vinay Ribeiro,Vijay Natarajan,Vinod Ganapathy,Shirish Shevade,Smruti R. Sarangi,Partha Talukdar,Nipun Batra,Arindam Khan,Nitin Saxena,KC Sivaramakrishnan,Raghavan Komondoor,Shweta Agrawal,V Krishna Nandivada,Naveen Garg,Arpita Patra,Arnab Bhattacharya,Jayant Haritsa,Bhavana Kanukurthi,Kartik Nagar,Devarajan Sridharan,Balaraman Ravindran,Siddharth Barman,Chaya Ganesh,Anurag Mittal
Anirban Dasgupta,0.36402323270007914,0.3985068091664599,0.7115498822062342,0.5526208666722605,0.2662859520102701,0.6389431665593891,0.49705693210849017,0.699681408237855,0.7449179353913283,0.5160696419042514,0.9999999999999997,0.03411847462179731,0.22073542951875477,0.7424717293437405,0.42314682058816194,0.6346175484902637,0.08086047085245478,0.6429417674497243,0.43753796236211123,0.7410457291628348,0.7052037634527644,0.42845520949509996,0.07019109165671042,0.30542288480088725,0.5582496305307038,0.08134045797478057,0.5327694688676081,0.6703524727475589,0.5092176800417342,0.7961331663050633,0.5580420604591385,0.5281664519758962,0.12724909707356916,0.31076632529162407,0.016858537214376832,0.3573650209277712,0.428688877631121,0.09972449695935331,0.4024432485944241,0.13171153101943825,0.05908020464697487,0.008465396459605892,0.6218076265294255,0.6716840162654202,0.5516808926019053,-0.14077050106270744,0.39440619842552493
Arkaprava Basu,-0.31585416464355515,-0.37987433166364015,0.06476195375494441,-0.2544181803803878,0.6893564292141853,-0.31689329407259015,-0.16545656410251386,-0.3310011374422267,-0.0496000956114298,0.06743755089989696,0.03411847462179731,1.0,-0.08419053930562599,0.051074791631393474,-0.2829166284920661,-0.0424990839530622,0.2937402168852588,-0.05001483311341745,0.4944352232712386,-0.3836824144898819,-0.3235105622259756,-0.32133242198234135,0.398098081093099,-0.14564901623059298,0.3540307965951657,0.314667605416079,0.057133964444551974,0.14059233568527876,0.5584776223998358,0.07415873172865942,-0.19126713486885816,-0.1835759247676651,0.44973426277133294,-0.0037721080431711847,-0.0367197805749972,0.27049620473881875,-0.1622412765971283,-0.08510844464675188,0.011464629058188836,0.03824778401419538,-0.05238871296920051,-0.051143136206137585,-0.08190452242277607,-0.19832266293024328,-0.3059275399490019,-0.0021115448192775693,-0.15189199910092316
Chester Rebeiro,0.5702366182689003,0.028403979610659894,0.24043665430888267,0.3060489968046075,-0.21506800935601594,0.25498945435791953,0.10530098775180931,0.5562479581430214,0.07515008176707628,-0.035253026575342634,0.22073542951875477,-0.08419053930562599,0.9999999999999999,0.12513371371268278,0.13381646964588517,0.10521338852954287,0.8494769007069712,0.03797568462715767,-0.1775854481181304,0.1590780715210456,0.25492576312595405,0.08680092136184075,0.7393236078733297,0.5298232400936936,0.36787896795332453,0.6400764106874045,-0.08336443416976855,0.6851663384402992,-0.18032786379515145,0.1631016863782318,0.2735657311994016,0.4653482281223548,0.01224615599946664,0.32642380928833237,0.8911102294207585,0.01632792093415401,0.32228405496615015,0.9244669307395023,-0.006252763672833169,-0.0610680522499325,0.7560217353944061,0.09334640032378581,0.042552411596486255,0.05594276625727537,0.28947327942688705,0.8894888723125962,0.03284226977274111
Purushottam Kar,0.6019737167053291,0.5967469394718197,0.18882610994332813,0.05771211567271487,0.39710174212278826,0.24702380952380945,0.8957183492652326,0.5379757574498516,0.9763199969561482,0.8040254731100384,0.7424717293437405,0.051074791631393474,0.12513371371268278,0.9999999999999999,0.5160855758697779,0.34167170348748926,0.17158736968504645,0.9541731686859907,0.6526401282978778,0.7208302731513232,0.3940101615633056,0.5353287520446763,0.08408653134322056,0.7152296499137971,0.3213287298229692,0.2683123029405542,0.9007473696252492,0.7153652641812591,0.7124005377853986,0.9599232160627676,-0.0004253844755385704,-0.006888542409021947,-0.05825043957775462,0.19012377048900608,0.2149764421800728,0.0617467923935826,-0.054611212846778244,0.22240219689451307,0.10492860373351452,-0.016965925127426458,0.26757057122954725,-0.234889383750884,0.749099207396809,0.9113287078153928,0.07207289776766442,0.019597845884454394,0.5638797452795634
Sukhendu Das,0.7913804805496888,0.6601081319359983,-0.08936235367840893,-0.08044795646710531,0.22100575455726384,0.06685406580320771,0.6671930448726039,0.27529275315342966,0.596283306649902,0.8248124488171473,0.42314682058816194,-0.2829166284920661,0.13381646964588517,0.5160855758697779,1.0,0.2131290928267125,0.13558810372156732,0.7023040856747861,0.47526619663728004,0.36645022514532416,0.1263703623049194,0.9894479126838882,-0.18583469332275837,0.4756979891324056,0.21027018187312216,0.22995623456513176,0.6252342433778877,0.5001283859098897,0.36713144281441024,0.6565938071897515,-0.1779298935632743,0.023465625347124888,-0.3500496996551523,0.44431651472490785,0.10472020726916252,-0.20919556088103208,-0.1959327853587064,0.06939782876587368,0.06812740787835402,-0.19427166534453127,0.09084548453280201,-0.29868731607470755,0.8960413864809296,0.7672136059114433,-0.0691075403227496,-0.009776075446227881,0.9766890474586885
Uday Reddy Bondhugula,0.10214358725444785,0.14953800418836707,0.4441120388732969,0.7489371194107802,0.39078347977827754,0.802377419802878,0.13084694598060545,0.5327656949488075,0.2526195511647149,0.30897951837613324,0.6346175484902637,-0.0424990839530622,0.10521338852954287,0.34167170348748926,0.2131290928267125,1.0,0.04737571242819276,0.24802527183950007,0.4257329279408753,0.5849602711222806,0.7568477765699441,0.1903726362810043,-0.1634829017591872,0.009669842332952346,-0.06130916076457682,-0.40563908493498346,0.37283775758652715,0.22172204878921628,0.4001538016354304,0.30147743179191083,0.6709454356187349,0.7468253968253968,-0.0518973044159856,-0.25714285714285723,0.0013633825840100922,0.04801979405534777,0.7394103551315172,0.11454869383942934,-0.14558069160805714,-0.07395760273292588,0.14240455701873814,-0.1757119726614033,0.13869348706750326,0.35673868632128786,0.7535062761356669,-0.12841976361811427,0.2243010988090837
Subhashish Banerjee,0.5112627476280002,-0.0570014786029859,0.036592577547278314,-0.03630775773552478,0.19983318381362225,-0.07370397645906004,0.12484527858767,0.2181247907265516,0.06388164806930437,0.14258931252406512,0.08086047085245478,0.2937402168852588,0.8494769007069712,0.17158736968504645,0.13558810372156732,0.04737571242819276,1.0000000000000002,0.09088909226052228,0.17289854564432763,-0.09518032625122554,-0.06816890820836954,0.051936633466723225,0.8478196042050005,0.5432469872584342,0.3649325469492951,0.7130974694258213,0.09059320786368283,0.6429251205372765,0.1547853889757124,0.20008883941115774,-0.09481004277034352,0.1696167481997025,0.01843180978706373,0.26612282907194695,0.8959041611300372,-0.10485467442429879,0.04317088846091028,0.8586753879950523,-0.11293315290069034,-0.04165698684050709,0.7271527222313917,-0.09259597478507971,0.07006747681662479,0.040716435536440755,-0.062421706511315546,0.9010411553165121,0.13454272891393615
Piyush Rai,0.6870085113816881,0.668783310552928,-0.0017864808950615787,-0.08944787077566115,0.39186796629022785,0.12083404182471716,0.9619595688217888,0.45431722002797886,0.9721986943780699,0.9128251913164671,0.6429417674497243,-0.05001483311341745,0.03797568462715767,0.9541731686859907,0.7023040856747861,0.24802527183950007,0.09088909226052228,0.9999999999999999,0.6787412757262381,0.6512422897542318,0.2633074495231898,0.7315338805159163,-0.0796237466475576,0.7302263411460962,0.23684297637284585,0.26919794164654,0.9417709443919875,0.6564487098801816,0.6935353711849725,0.9484790572753806,-0.15084491704149708,-0.13315328125156878,-0.14692910176167887,0.2750379252081584,0.14139161914331883,-0.015591909509750016,-0.2121378341497078,0.1299742414893564,0.08890507458854587,-0.07255560258843372,0.22251280201699494,-0.25140644601537354,0.8684581935056673,0.9678098400937056,-0.06827297012967999,-0.04528244274519014,0.7485412629823336
Mitesh Khapra,0.2825104419853086,0.28405401561379395,-0.11061616135888336,-0.18537210309830435,0.9363901255945616,-0.04914448460443608,0.580094738800413,0.06858653167207401,0.5808094395563116,0.8417820291272985,0.43753796236211123,0.4944352232712386,-0.1775854481181304,0.6526401282978778,0.47526619663728004,0.4257329279408753,0.17289854564432763,0.6787412757262381,0.9999999999999998,0.23907958743829244,0.011109518338058788,0.46097517189724896,-0.044359697957202404,0.3521130768525849,0.10085903760880943,0.11658081373714443,0.828325532243554,0.39590738173416995,0.9765121411974109,0.6483492904964211,-0.21990788115439835,-0.14577457410835987,0.08621022298821895,0.07930543526034572,-0.023884929979800715,0.018797035992801733,-0.17271044927798454,-0.05480433582010819,-0.04907938104920276,-0.005255890307228943,0.12811287971368987,-0.2571405628502295,0.5757994916863579,0.6205230125492239,-0.18322970190702945,-0.1492253489629067,0.6319637916792162
Shalabh Bhatnagar,0.5019628622471469,0.7070250062676335,0.3746603889743432,0.5990486098765332,-0.012220645079293194,0.7510466508870993,0.6363752422458696,0.8132312762650318,0.7076791282102333,0.4634579437433846,0.7410457291628348,-0.3836824144898819,0.1590780715210456,0.7208302731513232,0.36645022514532416,0.5849602711222806,-0.09518032625122554,0.6512422897542318,0.23907958743829244,1.0,0.8629345185893682,0.40781073896196884,-0.13182218394812326,0.4375029918453578,0.01980888910033873,-0.10633928053266073,0.5661404373095141,0.5242889068377696,0.2718862826280136,0.6505446129239608,0.516793568856517,0.4762968671359063,-0.09996451280572953,-0.10157741908138421,0.11570103792705858,0.014080035964838263,0.46848742340845806,0.20747192006902918,-0.03622708345694877,-0.12039214851204337,0.2135833066977134,-0.14882446032954733,0.4629110515944184,0.7672746551739038,0.6248926646692347,-0.08265340182195256,0.3254139633078842
