Professor Name,0,1,2,3,4,5,6,7,8,9,10,h-index,Total Publications,Home Page,2018,2019,2020,2021,2022,Score
Ayon Chakraborty,-0.9740408053480936,1.1093242505353287,-0.08117006711234119,2.002194988771081,-0.08117006711234119,-0.08117006711234119,-0.9740408053480936,1.406947829947246,-0.6764172259361761,-0.6764172259361761,-0.9740408053480936,13,15,https://www.cse.iitm.ac.in/~ayon/,3,5,0,5,2,0.8918406072106262
Shishir N. Y. Kolathaya,-0.8270490628035704,0.7088991966887745,0.23629973222959152,2.126697590066324,-0.11814986611479576,1.535948259492345,-0.8270490628035704,-0.3544495983443873,-0.8270490628035704,-0.8270490628035704,-0.8270490628035704,13,32,http://shishirny.com/,4,6,9,7,4,2.1442125237191654
Surender Baswana,-0.603250603250905,-0.254000254000381,2.1907521907532863,-0.603250603250905,1.8415018415027622,-0.603250603250905,0.4445004445006668,-0.603250603250905,-0.603250603250905,-0.603250603250905,-0.603250603250905,13,13,http://www.cse.iitk.ac.in/~sbaswana,3,4,2,0,4,0.7590132827324478
Neeldhara Misra,-0.37226332466596834,-0.37226332466596834,3.1538976117533424,-0.25851619768470024,-0.25851619768470024,-0.37226332466596834,-0.37226332466596834,-0.25851619768470024,-0.14476907070343215,-0.37226332466596834,-0.37226332466596834,14,37,http://www.neeldhara.com/,4,9,8,6,11,3.0740037950664134
Mayank Singh,2.7767036490498445,0.020454538851195893,-0.6545452432382691,0.8079542846222385,0.4142044117367172,-0.7107952250790579,-0.5420452795566917,-0.4857952977159029,-0.26079537035274786,-0.7107952250790579,-0.6545452432382691,11,52,http://mayank4490.github.io/,2,10,16,18,8,4.573055028462998
Chandan Saha,-0.3928371006591931,-0.3928371006591931,3.0641293851417064,0.4714045207910318,-0.3928371006591931,-0.3928371006591931,-0.3928371006591931,-0.3928371006591931,-0.3928371006591931,-0.3928371006591931,-0.3928371006591931,13,13,https://drona.csa.iisc.ac.in/~chandan/,2,4,3,1,2,0.6261859582542695
Rijurekha Sen,-0.3942112336951044,-0.051869899170408434,-0.6224387900449018,3.0292021115518555,0.1763576571793889,-0.28009745552020576,-0.6224387900449018,0.06224387900449022,-0.051869899170408434,-0.6224387900449018,-0.6224387900449018,14,16,http://www.cse.iitd.ac.in/~rijurekha/,3,3,3,4,3,1.1195445920303606
Gugan Thoppe | गुगन थोप्पे,-0.9574271077563381,-0.47871355387816905,1.9148542155126762,1.4361406616345072,0.0,-0.47871355387816905,-0.9574271077563381,0.47871355387816905,0.9574271077563381,-0.9574271077563381,-0.9574271077563381,8,14,https://sites.google.com/site/gugancth/,3,1,3,3,4,1.1195445920303606
Narasimha Murty M/ M. N. Murty/M. N. Narasimha Murthy,-0.47580563899302514,-0.23572022482223262,-0.0436518934855986,2.789355993729753,1.1087580945342055,-0.6198568874955006,-0.5238227218271836,-0.47580563899302514,-0.3317543904905496,-0.6198568874955006,-0.5718398046613421,19,46,https://www.csa.iisc.ac.in/~mnm/,8,9,15,11,3,3.0360531309297913
Vinay P. Namboodiri,0.7161455359860842,0.9207585462678226,-0.6138390308452151,2.598585230578077,0.1636904082253907,-0.6343003318733889,-0.6752229339297365,-0.36830341850712905,-0.6752229339297365,-0.6547616329015628,-0.7775294390706058,25,135,https://vinaypn.github.io/,14,24,36,36,17,10.0
Anirban Dasgupta,-0.18738292224896538,0.018738292224896518,1.6677080080157916,1.4615867935419298,1.4615867935419298,-1.011867780144413,-0.39350413672282725,-0.805746565670551,-0.18738292224896538,-1.011867780144413,-1.011867780144413,21,24,http://sites.google.com/site/anirbandasgupta,8,3,4,4,5,1.5939278937381407
Arkaprava Basu,2.235652202434968,-0.6799148450704283,-0.806678629744576,-0.806678629744576,1.6018332790642296,-0.42638727572213303,-0.6799148450704283,-0.04609592169969002,-0.17285970637383768,0.5877230016710483,-0.806678629744576,15,46,http://www.csa.iisc.ac.in/~arkapravab/,17,7,7,11,4,2.713472485768501
Chester Rebeiro,-0.9082018160676218,0.12020318153836174,0.85477817982835,-0.17362681777763356,0.41403318085435703,-0.7612868164096241,-0.7612868164096241,2.617758175724322,0.12020318153836174,-0.6143718167516266,-0.9082018160676218,15,36,http://cse.iitm.ac.in/~chester,4,12,8,3,9,2.4857685009487667
Purushottam Kar,-0.03788072042070787,-0.5934646199244238,0.10101525445522111,2.7400387770978716,1.0732870785867241,-0.5934646199244238,-0.5934646199244238,-0.17677669529663687,-0.5934646199244238,-0.7323605948003528,-0.5934646199244238,19,23,https://www.cse.iitk.ac.in/users/purushot/,3,2,3,6,5,1.631878557874763
Sukhendu Das,-0.4161059734807827,2.2581930920361577,-0.26181948893172846,1.898191294755031,-0.1589618325656923,-0.570392458029837,-0.621821286212855,-0.1589618325656923,-0.621821286212855,-0.6732501143958731,-0.6732501143958731,13,36,http://www.cse.iitm.ac.in/~sdas,16,9,4,2,5,1.631878557874763
Uday Reddy Bondhugula,1.1783766072743587,-0.021821789023599217,2.3785750035723168,0.6982972487551755,-0.5019011475427824,-0.9819805060619656,-0.5019011475427824,-0.5019011475427824,-0.5019011475427824,-1.222020185321557,-0.021821789023599217,22,16,https://www.csa.iisc.ac.in/~udayb,4,2,5,3,2,1.0056925996204935
Subhashish Banerjee,0.4020422005641731,0.10721125348377952,-0.18761969359661407,-0.18761969359661407,0.6968731476445666,-0.7772815877574012,-0.7772815877574012,2.760689777207322,-0.48245064067700766,-0.7772815877574012,-0.7772815877574012,25,84,http://home.iitj.ac.in/~subhashish,22,16,15,16,14,5.673624288425048
