Professor Name,0,1,2,3,4,5,6,7,8,9,10
Ayon Chakraborty,-0.9740408053480936,1.1093242505353287,-0.08117006711234119,2.002194988771081,-0.08117006711234119,-0.08117006711234119,-0.9740408053480936,1.406947829947246,-0.6764172259361761,-0.6764172259361761,-0.9740408053480936
Shishir N. Y. Kolathaya,-0.8270490628035704,0.7088991966887745,0.23629973222959152,2.126697590066324,-0.11814986611479576,1.535948259492345,-0.8270490628035704,-0.3544495983443873,-0.8270490628035704,-0.8270490628035704,-0.8270490628035704
Surender Baswana,-0.603250603250905,-0.254000254000381,2.1907521907532863,-0.603250603250905,1.8415018415027622,-0.603250603250905,0.4445004445006668,-0.603250603250905,-0.603250603250905,-0.603250603250905,-0.603250603250905
Neeldhara Misra,-0.37226332466596834,-0.37226332466596834,3.1538976117533424,-0.25851619768470024,-0.25851619768470024,-0.37226332466596834,-0.37226332466596834,-0.25851619768470024,-0.14476907070343215,-0.37226332466596834,-0.37226332466596834
Mayank Singh,2.7767036490498445,0.020454538851195893,-0.6545452432382691,0.8079542846222385,0.4142044117367172,-0.7107952250790579,-0.5420452795566917,-0.4857952977159029,-0.26079537035274786,-0.7107952250790579,-0.6545452432382691
Chandan Saha,-0.3928371006591931,-0.3928371006591931,3.0641293851417064,0.4714045207910318,-0.3928371006591931,-0.3928371006591931,-0.3928371006591931,-0.3928371006591931,-0.3928371006591931,-0.3928371006591931,-0.3928371006591931
Rijurekha Sen,-0.3942112336951044,-0.051869899170408434,-0.6224387900449018,3.0292021115518555,0.1763576571793889,-0.28009745552020576,-0.6224387900449018,0.06224387900449022,-0.051869899170408434,-0.6224387900449018,-0.6224387900449018
Gugan Thoppe | गुगन थोप्पे,-0.9574271077563381,-0.47871355387816905,1.9148542155126762,1.4361406616345072,0.0,-0.47871355387816905,-0.9574271077563381,0.47871355387816905,0.9574271077563381,-0.9574271077563381,-0.9574271077563381
Narasimha Murty M/ M. N. Murty/M. N. Narasimha Murthy,-0.47580563899302514,-0.23572022482223262,-0.0436518934855986,2.789355993729753,1.1087580945342055,-0.6198568874955006,-0.5238227218271836,-0.47580563899302514,-0.3317543904905496,-0.6198568874955006,-0.5718398046613421
Vinay P. Namboodiri,0.7161455359860842,0.9207585462678226,-0.6138390308452151,2.598585230578077,0.1636904082253907,-0.6343003318733889,-0.6752229339297365,-0.36830341850712905,-0.6752229339297365,-0.6547616329015628,-0.7775294390706058
Anirban Dasgupta,-0.18738292224896538,0.018738292224896518,1.6677080080157916,1.4615867935419298,1.4615867935419298,-1.011867780144413,-0.39350413672282725,-0.805746565670551,-0.18738292224896538,-1.011867780144413,-1.011867780144413
Arkaprava Basu,2.235652202434968,-0.6799148450704283,-0.806678629744576,-0.806678629744576,1.6018332790642296,-0.42638727572213303,-0.6799148450704283,-0.04609592169969002,-0.17285970637383768,0.5877230016710483,-0.806678629744576
Chester Rebeiro,-0.9082018160676218,0.12020318153836174,0.85477817982835,-0.17362681777763356,0.41403318085435703,-0.7612868164096241,-0.7612868164096241,2.617758175724322,0.12020318153836174,-0.6143718167516266,-0.9082018160676218
Purushottam Kar,-0.03788072042070787,-0.5934646199244238,0.10101525445522111,2.7400387770978716,1.0732870785867241,-0.5934646199244238,-0.5934646199244238,-0.17677669529663687,-0.5934646199244238,-0.7323605948003528,-0.5934646199244238
Sukhendu Das,-0.4161059734807827,2.2581930920361577,-0.26181948893172846,1.898191294755031,-0.1589618325656923,-0.570392458029837,-0.621821286212855,-0.1589618325656923,-0.621821286212855,-0.6732501143958731,-0.6732501143958731
Uday Reddy Bondhugula,1.1783766072743587,-0.021821789023599217,2.3785750035723168,0.6982972487551755,-0.5019011475427824,-0.9819805060619656,-0.5019011475427824,-0.5019011475427824,-0.5019011475427824,-1.222020185321557,-0.021821789023599217
Subhashish Banerjee,0.4020422005641731,0.10721125348377952,-0.18761969359661407,-0.18761969359661407,0.6968731476445666,-0.7772815877574012,-0.7772815877574012,2.760689777207322,-0.48245064067700766,-0.7772815877574012,-0.7772815877574012
Piyush Rai,-0.14629435219865944,0.10128070536830272,-0.35260690017112795,2.9483938673883676,0.6376933300967208,-0.6001819577380901,-0.6001819577380901,-0.35260690017112795,-0.476394428954609,-0.5589194481435964,-0.6001819577380901
Mitesh Khapra,2.173550053686688,0.2131616612136463,-0.5940570886281944,1.7507211847219144,0.40535660165217985,-0.7478130409790212,-0.5940570886281944,-0.5556181005404878,-0.5556181005404878,-0.7478130409790212,-0.7478130409790212
Shalabh Bhatnagar,-0.7486170004828491,-0.6430428081070626,1.8379507127239179,2.20746038603917,-0.1151718462281306,0.25433782708712177,-0.484681519543383,-0.484681519543383,-0.3263202309797034,-0.7486170004828491,-0.7486170004828491
Prashanth L.A.,-0.5518587422406658,-0.5518587422406658,2.8792630029947786,0.8997696884358682,-0.1559600793288838,-0.023993858358289797,-0.5518587422406658,-0.4198925212700718,-0.4198925212700718,-0.5518587422406658,-0.5518587422406658
Shanmuganathan Raman,-0.5381036244460137,2.130109684335515,-0.29275067651208003,2.068771447352032,-0.2620815580203383,-0.5381036244460137,-0.6607800984129806,-0.35408891349556343,-0.29275067651208003,-0.5687727429377554,-0.6914492169047223
Abhishek Bichhawat,0.0,-0.6243106434520871,-0.20810354781736237,-0.8324141912694495,1.664828382538899,0.20810354781736237,-0.6243106434520871,2.289139025990986,-0.20810354781736237,-0.8324141912694495,-0.8324141912694495
Vinay Ribeiro,-0.6165256966823333,-0.4045949884477812,-0.6165256966823333,2.350504218601395,0.019266428021322897,-0.8284564049168852,-0.19266428021322915,1.714712093897739,-0.19266428021322915,-0.4045949884477812,-0.8284564049168852
Vijay Natarajan,-0.6699669207641991,0.6375491665336732,0.04322367230736764,-0.3133716242284157,2.8959860445936343,-0.6699669207641991,-0.6699669207641991,0.04322367230736764,-0.07564142653789348,-0.551101821918938,-0.6699669207641991
Vinod Ganapathy,-0.49009802940980357,0.28005601680560194,-1.2602520756252091,0.28005601680560194,1.4352870861287101,-0.10502100630210083,-1.2602520756252091,1.8203641092364127,0.6651330399133046,-0.10502100630210083,-1.2602520756252091
Shirish Shevade,0.7502492207766053,-0.10054886464016358,-0.4408680988068711,2.8772444343185275,0.15469056098486708,-0.6961075244319017,-0.525947907348548,-0.3557882902651942,-0.6961075244319017,-0.6961075244319017,-0.27070848172351736
Smruti R. Sarangi,-0.3884570883889224,0.14567140814584606,0.4127356564132303,1.4809926494827672,1.347460525349075,-0.5219892125226145,-1.3231819573247672,1.213928401215383,0.012139284012153936,-0.7890534607899987,-1.5902462055921514
Partha Talukdar,2.054134180023343,-0.23757779662191691,-0.5592215828177428,1.7324903938275171,0.8881754550634738,-0.7200434759156558,-0.6396325293666993,-0.6798380026411776,-0.35819421644535165,-0.8004544224646123,-0.6798380026411776
Nipun Batra,-0.2017626431870794,0.14866721076942688,0.03185725945059145,2.4848662371461354,1.4335766752766168,-0.6690024484624212,-0.7858123997812566,-0.31857259450591485,-0.5521924971435858,-0.7858123997812566,-0.7858123997812566
Arindam Khan,-0.3818056258614721,-0.5053309754048896,2.953378811810799,-0.5053309754048896,-0.011229577231219758,-0.5053309754048896,-0.25828027631805467,-0.5053309754048896,0.7299225200292849,-0.5053309754048896,-0.5053309754048896
Nitin Saxena,-0.181848241863327,0.21821789023599236,3.0186808149312276,-0.5819143739626463,-0.181848241863327,-0.5819143739626463,-0.5819143739626463,0.21821789023599236,-0.181848241863327,-0.5819143739626463,-0.5819143739626463
KC Sivaramakrishnan,0.7736421443326913,-0.8022955570857538,-0.17192047651837583,-0.8022955570857538,1.0888296846163803,0.45845460404900223,-0.8022955570857538,-0.48710801680206484,2.3495798457511365,-0.8022955570857538,-0.8022955570857538
Raghavan Komondoor,-0.9819805060619659,1.4184162865339505,-0.9819805060619659,0.21821789023599233,1.4184162865339505,-0.9819805060619659,0.21821789023599233,0.21821789023599233,1.4184162865339505,-0.9819805060619659,-0.9819805060619659
Shweta Agrawal,-0.41860286079152226,-0.41860286079152226,0.062478038924107734,0.4061072530067006,-0.0749736467089294,-0.4873287036080408,-0.4873287036080408,3.017689280034406,-0.41860286079152226,-0.4873287036080408,-0.6935062320575965
