Professor Name,0,1,2,3,4,5,6,7,8,9,10,h-index,Total Publications,Score
Debdeep Mukhopadhyay,0.0,0.09511477957700629,0.13218921919124982,0.20768940934271032,0.13658172870675864,0.045847630484123034,0.04610286440601026,0.3042513118106879,0.03222305648145383,0.0,0.0,3.0820747204538774,0.8303944935993148,-0.2295519677042963
abhilash jindal,0.0,0.0,0.24074074074074073,0.13636363636363635,0.16666666666666666,0.4259259259259259,0.0,0.0,0.0303030303030303,0.0,0.0,2.8085469936237923,1.7750016999702367,-0.33702563923485507
Jayant Haritsa,0.031069954452981916,0.08150533306500303,0.05989286863223519,0.07936507936507937,0.2135675934871215,0.0,0.4802584440334467,0.006583760058522312,0.04775696690561001,0.0,0.0,3.282276314341414,0.05273642575038446,-0.2688587104206718
Manindra Agrawal,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.524563532654903,0.36157765238782213,-0.031339848266473555
Sandeep Shukla,0.0,0.37450980392156863,0.07407407407407408,0.3575689279543235,0.01568627450980392,0.0,0.0,0.16666666666666666,0.011494252873563218,0.0,0.0,3.519715897999603,0.24813116000962424,-0.05635736519732345
Arpita Patra,0.009319664492078284,0.0,0.18782785187999476,0.19086602645166945,0.07888765451459058,0.03134796238244514,0.0,0.40975674694420944,0.09199409333501232,0.0,0.0,0.9821015266945607,1.2760359443505602,-0.4955579098913068
Sukhendu Das,0.0032623766413832473,0.352386611461873,0.08113810468158945,0.3938998277935656,0.05130283123296189,0.06080349269124089,0.015238095238095238,0.04196866025929073,0.0,0.0,0.0,1.0739484658851264,1.2804338553552028,-0.5397797409516675
Mayank Singh,0.4154429810562321,0.08216085157274254,0.00634920634920635,0.2232039373277476,0.11269379859314531,0.11415535516688471,0.011538461538461539,0.009595481022653342,0.024859927372926353,0.0,0.0,-0.20348493740842455,1.964721796785297,-0.47479818728632395
Soumen Chakrabarti,0.10117433432420447,0.05778480381314217,0.09090909090909091,0.23395851978484944,0.16257002519484798,0.16446284353163199,0.10299848834981719,0.03884035297768925,0.018132848844430092,0.0,0.029168692270296545,3.505785895124579,0.2977759412025613,-0.09276440101403209
Satrajit ghosh,0.15695067264573992,0.0,0.25,0.0,0.20179372197309417,0.0,0.08333333333333333,0.3079222720478326,0.0,0.0,0.0,2.9918032633701275,0.4062942703342149,-0.6279093268801501
Shankara Narayanan Krishna,0.19950181159420285,0.055555555555555546,0.5296594041741557,0.05608974358974358,0.055555555555555546,0.07238792953078665,0.031249999999999993,0.0,0.0,0.0,0.0,1.5976298194141516,2.4435442222705053,-0.22555215444395235
Shishir N. Y. Kolathaya,0.0,0.09438477654320593,0.08051850025694578,0.30648143873939604,0.05753071377603302,0.4421187451975948,0.0,0.018965825486824434,0.0,0.0,0.0,0.9277442516271303,2.193152344592646,-0.4773242663145125
Nipun Batra,0.023022459275664497,0.08530343620370721,0.0940479244388981,0.39258645362844774,0.27516980908566574,0.07215007215007214,0.0,0.01809280559050494,0.039627039627039624,0.0,0.0,0.9121396825132047,2.42198323318671,-0.40076775285506083
Mitesh Khapra,0.305685884268656,0.0720814237325895,0.00854003325729766,0.35725358219905423,0.14894176696450043,0.04472467684851525,0.008980858958815533,0.010434097854755894,0.036874236874236875,0.0019379844961240308,0.004545454545454544,0.7789790924541775,1.79492325950484,-0.501993987740136
Shivaram Kalyanakrishnan,0.09594298245614036,0.0,0.30469804318488536,0.26887947269303203,0.18079096045197743,0.01666666666666667,0.03366290018832392,0.08333333333333334,0.0,0.016025641025641028,0.0,2.4800095630927763,2.139724880311963,-0.2533641388096274
Krithi Ramamritham,0.0,0.0,0.2994652406417112,0.3181818181818182,0.2887700534759358,0.09358288770053474,0.0,0.0,0.0,0.0,0.0,3.5851173715028426,-0.2554927949303071,0.042836679821790735
Biswabandan Panda,0.017499999999999998,0.07406943933259721,0.014441260744985671,0.13126845891707684,0.27493222447264154,0.21203740778572236,0.0,0.1476000217145345,0.07634828148777777,0.05180290554466395,0.0,0.2629551139343582,3.1712674123121785,-0.37790816920620884
Somak Aditya,0.24067024868815026,0.16486101482606974,0.062091210881592994,0.21645918765080743,0.12352611556046324,0.12701765663131612,0.048372494269131344,0.010173802458668928,0.0,0.0,0.00682826903379993,0.3953837717774233,1.6392877728749347,-0.6619346291554614
Shanmuganathan Raman,0.006469077255116021,0.4329277407434766,0.10001079797975862,0.3559662345199935,0.026244103902165014,0.014990942028985509,0.00404448938321537,0.011744132215447185,0.037242431299288434,0.010360050672553823,0.0,0.012617123065344462,1.2424115182777324,-0.5153924270530178
Shweta Agrawal,0.006686966386052899,0.015253402022937842,0.1501042488188724,0.157269387546109,0.08013232679514405,0.049788720322028975,0.019218001612367808,0.49328472789447386,0.009848174366372734,0.01841404423564048,0.0,0.8098320432140916,1.604345440441272,-0.46398019690557274
Balaraman Ravindran,0.004735569306299646,0.1328012589083478,0.1088961718070241,0.640122061592016,0.019765167419450055,0.07507311433040877,0.009815447845244917,0.0,0.008791208791208791,0.0,0.0,2.162118845678233,1.152136797461304,-0.3330386678514786
Anurag Mittal,0.06775520389891536,0.330390454787274,0.00583055274314296,0.45365953334707215,0.06451732470372105,0.014484229100801412,0.02583345453022022,0.0375292468888528,0.0,0.0,0.0,1.16283550876266,1.0972835070431965,-0.4987652304741802
Sayan Ranu,0.006756756756756757,0.010541711809317445,0.1650763520420658,0.4040238071457716,0.18038409658159893,0.08283655156690777,0.12393648018648018,0.007855095355095355,0.01858914855600612,0.0,0.0,0.7540326077114606,2.240629881142291,-0.43686107763475873
Sourangshu Bhattacharya,0.050293243814903216,0.052679586201138134,0.14193296341567274,0.29772612849567204,0.31638049265441887,0.07011903515008089,0.0,0.004146036453918794,0.0667225138141953,0.0,0.0,0.003576658760496206,2.381247101867195,-0.5666119733160423
Surender Baswana,0.0,0.0,0.49407597046915935,0.0,0.32021513058664763,0.04273504273504273,0.14297385620915035,0.0,0.0,0.0,0.0,2.6630724596968482,1.6103755815108,-0.23184395531478447
Ayon Chakraborty,0.0,0.3043114909781577,0.042066811909949174,0.3531832909283889,0.06666666666666667,0.12438914027149321,0.0,0.09940773750577672,0.003137254901960784,0.006837606837606838,0.0,1.984746005707545,1.984746005707545,-0.5087452946061216
Abir Das,0.018704074816299262,0.19198285648990798,0.02380952380952381,0.613844176521228,0.09168919949031573,0.03894829858614905,0.0,0.021021870286576167,0.0,0.0,0.0,1.5368870566360242,0.959012139413079,-0.4762532799939103
Vinay P. Namboodiri,0.15483689039331583,0.13543847037032272,0.018812043357056354,0.5136211417633652,0.08695986693139496,0.04975339682455431,0.014169736662573339,0.020547647836611494,0.005860805860805861,0.0,0.0,0.06179276767119545,1.6256251187345263,-0.5038487210112859
Pallab Dasgupta,0.0,0.0,0.24404761904761907,0.1571557971014493,0.036231884057971016,0.36127645502645506,0.025362318840579715,0.17592592592592593,0.0,0.0,0.0,2.9905101390978714,1.5182589936958426,-0.23003924146906704
Suyash P. Awate,0.014955393900546968,0.3140983804059684,0.0846798890840705,0.31623218194256003,0.18971360626394326,0.0,0.0,0.00400543594878764,0.061551233396584436,0.01476387905753868,0.0,0.5782503326290922,1.1951668019580814,-0.506839899985138
Raghavan Komondoor,0.0,0.2,0.0,0.2,0.33399503722084367,0.0,0.0,0.03126550868486353,0.2347394540942928,0.0,0.0,3.0765148555497386,1.496760250653501,-0.23753556559128217
Parag Chaudhuri,0.06190714873073306,0.15543798761367755,0.12146147784445656,0.21899582994973463,0.11966679805719956,0.192485565346664,0.0,0.0,0.0,0.13004519245753465,0.0,0.7316680009578718,2.6219437554383838,-0.5758349912717315
V Krishna Nandivada,0.043086546393478226,0.0,0.12424814382030391,0.011277791700977407,0.22004170805605416,0.025210084033613446,0.009022233360781926,0.0,0.41131517330705986,0.042352941176470586,0.11344537815126052,1.245001728502423,2.4366084784151454,-0.5239051859642893
Nitin Saxena,0.016891891891891886,0.03787878787878787,0.8096505596505597,0.0,0.01893939393939394,0.06944444444444445,0.0,0.030303030303030304,0.016891891891891886,0.0,0.0,3.10464486341891,1.1021728451952495,-0.15690655087849048
Parag Singla,0.12239565571538383,0.0804556623333582,0.09708791291678014,0.43657860848562163,0.19716370676141917,0.04667034077339947,0.0072432525407762054,0.009334685034664891,0.0030701754385964912,0.0,0.0,0.7105769508059109,1.793200771758758,-0.5088458040445107
Niloy Ganguly,0.24627879566975003,0.1351711717951826,0.15419257431629474,0.18236901768844127,0.16742683458607352,0.0931331833706937,0.0,0.02142842257356415,0.0,0.0,0.0,3.1636318695131607,1.0894589210699537,-0.18484393005299984
Abhishek Bichhawat,0.05168534976668305,0.022519302259079207,0.11225071225071225,0.0,0.2795933038137549,0.12317958527068215,0.011769651113913409,0.35493389776371254,0.044068197761462424,0.0,0.0,0.4714542943198568,1.6786772189400871,-0.6964026653671049
Shalabh Bhatnagar,0.0,0.018382352941176468,0.274932535833198,0.42328190624594086,0.022450532724505326,0.1691152027196548,0.015625,0.03682040998217469,0.03939205955334987,0.0,0.0,2.872255016092068,1.2171617534191155,-0.2652261253227464
Subhashish Banerjee,0.043478260869565216,0.003344481605351171,0.05797101449275362,0.031055900621118012,0.1373913043478261,0.5549163879598662,0.0,0.12836438923395446,0.043478260869565216,0.0,0.0,2.310283852339988,2.4910752492543753,-0.02231819263151221
Smruti R. Sarangi,0.03588142017326733,0.0829641229771923,0.06371531086872011,0.19209694998559704,0.2547873531204866,0.24004779266211054,0.014227642276422767,0.04365843757291126,0.05127937665889351,0.021341593704398584,0.0,1.340679978026847,2.867916839788562,-0.42560265340191883
palash dey,0.0,0.0,0.6550835860046387,0.21712059869954603,0.02462121212121212,0.10317460317460317,0.0,0.0,0.0,0.0,0.0,0.5910622971189929,2.7588517420016982,-0.19508268931574307
Mainack Mondal,0.04761904761904761,0.049038866396637654,0.033751528780526285,0.03401360544217687,0.28609698216139606,0.08567140772115167,0.011434016198189612,0.287401005363065,0.08723781026419831,0.07773573005361084,0.0,1.3030542785261632,2.349886594597704,-0.4520966427133499
Bhargab B. Bhattacharya,0.11111111111111113,0.06306306306306309,0.06488052667290167,0.19221176945223822,0.05079778573754479,0.14648002090924467,0.0,0.33221099887766564,0.015220700152207004,0.024024024024024034,0.0,3.4594562191889797,0.5198028394658025,-0.14321680867828368
Prashanth L.A.,0.0,0.0,0.6657581306571535,0.22020448048754107,0.02031567499193398,0.04154581958221399,0.0,0.047619047619047616,0.004556846662109819,0.0,0.0,1.1800205961685328,1.9639187464084011,-0.334217445599163
soumyajit dey,0.02325581395348837,0.03325814835466656,0.032132589096326505,0.13003372089970758,0.10928802287959481,0.4177481819600181,0.11074574801925846,0.09698181145165338,0.046555963385286135,0.0,0.0,-0.4310571095104404,2.5091100063736578,-0.7666196607798212
Amey Karkare,0.11302549194991056,0.085,0.02753496503496504,0.25022807606000697,0.15231164120966753,0.12942602901484482,0.0,0.007675438596491229,0.0552972027972028,0.06250000000000001,0.11700115533691118,1.1091447598328057,2.9423648901770885,-0.41974633701558817
