Professor Name,0,1,2,3,4,5,6,7,8,9,10,h-index,Total Publications,Home Page,2018,2019,2020,2021,2022,Score
Subhashish Banerjee,0.0319693094629156,0.04515050167224079,0.02898550724637681,0.031055900621118012,0.09043478260869565,0.6114309135025248,0.0,0.13923395445134576,0.021739130434782608,0.0,0.0,25,84,http://home.iitj.ac.in/~subhashish,22,16,15,16,14,3.6868064118372375
Chester Rebeiro,0.0,0.07861757881188831,0.1785364191615039,0.08736889382050672,0.12491132584971927,0.0749758994885698,0.003487358326068003,0.35800970893291206,0.07845254190404205,0.015640273704789834,0.0,15,36,http://cse.iitm.ac.in/~chester,4,12,8,3,9,1.6152897657213314
Shweta Agrawal,0.006686966386052899,0.015253402022937842,0.1501042488188724,0.15726938754610897,0.08013232679514405,0.04978872032202897,0.019218001612367808,0.4932847278944739,0.009848174366372734,0.01841404423564048,0.0,21,37,http://www.cse.iitm.ac.in/~shwetaag/,4,4,11,7,8,1.8618988902589397
Smruti R. Sarangi,0.03633959249454497,0.06275826578547627,0.11372850088808492,0.17616509382915238,0.19636127811992898,0.24651185583194646,0.015622509166268136,0.06545351401299794,0.06721245872203153,0.01984693114956837,0.0,15,61,http://www.cse.iitd.ac.in/~srsarangi,9,14,9,12,15,3.0086313193588157
Jayant Haritsa,0.0571036168167351,0.03565858321593883,0.049229445816076585,0.06313131313131315,0.21659130467710588,0.0,0.47605547856089847,0.041867276875945374,0.0603629809059867,0.0,0.0,16,17,http://dsl.cds.iisc.ac.in/~haritsa,6,4,2,5,1,0.6041923551171393
Shirish Shevade,0.13341359345076093,0.0541244424803092,0.037306705498925175,0.5288936827751934,0.09202667836385953,0.02849211804092854,0.013222660876917085,0.024159523915264026,0.0,0.0,0.08836059459784208,15,24,http://drona.csa.iisc.ac.in/~shirish/,3,6,4,7,4,1.1344019728729962
Surender Baswana,0.0,0.0,0.49407597046915935,0.0,0.32021513058664763,0.04273504273504273,0.14297385620915035,0.0,0.0,0.0,0.0,13,13,http://www.cse.iitk.ac.in/~sbaswana,3,4,2,0,4,0.4932182490752158
Uday Reddy Bondhugula,0.06346217266574468,0.038732655752658926,0.34616807882492534,0.21155508035058468,0.08174599121441166,0.053259099738273745,0.03536122963748866,0.008340507824720065,0.024122670263836184,0.0,0.137252513727356,22,16,https://www.csa.iisc.ac.in/~udayb,4,2,5,3,2,0.6535141800246609
Rijurekha Sen,0.020349515696113894,0.041368254497002,0.0,0.5549242222777837,0.1365308998160489,0.14853948762081293,0.0,0.05672900457301219,0.0415586155192264,0.0,0.0,14,16,http://www.cse.iitd.ac.in/~rijurekha/,3,3,3,4,3,0.7274969173859434
Ganesh Ramakrishnan,0.14772117360734946,0.1068507625643263,0.08499311314299,0.36661863449752896,0.1823768370404757,0.053982321740176906,0.027606860963073295,0.02396641579275784,0.0023188182627297735,0.0,0.0035650623885917997,17,92,http://www.cse.iitb.ac.in/~ganesh,7,19,10,28,27,5.4623921085080145
Gugan Thoppe | गुगन थोप्पे,0.0,0.019035532994923856,0.2541928170169729,0.3091624232928581,0.07317419721511793,0.01689189189189189,0.0,0.20098039215686272,0.12656274543137266,0.0,0.0,8,14,https://sites.google.com/site/gugancth/,3,1,3,3,4,0.7274969173859431
Chetan Arora,0.009694680596846498,0.3528758459839048,0.04671319718217086,0.3450968214564883,0.08305563356123134,0.09092742118657741,0.005591770714883493,0.039874274932046934,0.017419747151109752,0.008750607234740774,0.0,16,73,http://www.cse.iitd.ac.in/~chetan,19,7,9,12,22,3.736128236744759
Krithi Ramamritham,0.003564599603833107,0.02775992131574134,0.15791888333290363,0.16580427205998138,0.2979960431011464,0.21097333907963714,0.0160277209613073,0.02444311512645455,0.07424650827104504,0.021265597147950087,0.0,25,61,http://www.cse.iitb.ac.in/~krithi,14,14,18,12,4,2.4290998766954366
Parag Singla,0.1223956557153838,0.0804556623333582,0.09708791291678015,0.43657860848562163,0.19716370676141914,0.04667034077339947,0.0072432525407762054,0.009334685034664891,0.0030701754385964912,0.0,0.0,18,40,http://www.cse.iitd.ac.in/~parags,7,9,4,12,6,1.787916152897657
Siddharth Barman,0.0,0.0,0.8397556863929146,0.06481481481481481,0.0,0.0,0.03819444444444444,0.041666666666666664,0.015568387681159418,0.0,0.0,18,39,https://www.csa.iisc.ac.in/~barman/,8,7,10,4,9,1.7755856966707766
Arkaprava Basu,0.2503159636503693,0.009105888474546874,0.0,0.0,0.22369488846466032,0.3575751867708743,0.0072847107796375,0.04970956504133933,0.024463351178155266,0.07785044564041724,0.0,15,46,http://www.csa.iisc.ac.in/~arkapravab/,17,7,7,11,4,1.7632552404438961
Vinay P. Namboodiri,0.15301440460334198,0.13224336879179813,0.01459622183024526,0.46443234345837725,0.10314913404068762,0.07337394079262988,0.012201080252656185,0.03437924271877451,0.006205362369745931,0.0064049011417432475,0.0,25,135,https://vinaypn.github.io/,14,24,36,36,17,6.498150431565967
V Krishna Nandivada,0.043086546393478226,0.0,0.12424814382030391,0.011277791700977407,0.22004170805605416,0.025210084033613446,0.009022233360781926,0.0,0.41131517330705986,0.042352941176470586,0.11344537815126052,9,20,http://www.cse.iitm.ac.in/~krishna,3,11,5,1,0,0.40690505548705297
Shankara Narayanan Krishna,0.11167612261922549,0.027777777777777776,0.5814382898564867,0.03748392249605841,0.074075000834084,0.10258178115320973,0.015625,0.0,0.04934210526315789,0.0,0.0,12,46,http://www.cse.iitb.ac.in/~krishnas,9,8,7,12,7,2.046855733662145
