,0
0,0.3972137791286728
1,0.03900709219858156
2,0.14969604863221883
3,0.18753020029615775
4,0.0871580547112462
5,0.11476307380562699
6,0.01276595744680851
7,0.005319148936170213
8,0.0
9,0.006546644844517185
